trocr-small-printed warped run1

Parameters
Parameter,Value
Model,microsoft/trocr-small-printed
Type of Dataset,warped
Training Size,1414
Validation Size,176
Test Size,176
Batch Size,8
Epochs,20
Learning Rate,0.0001

Metrics
Metric,Value
Accuracy,96.59%
Average Latency,58.55772982944141 ms

Character Error Rates
Character,Error Rate
0,0.50
1,0.00
2,0.50
3,0.00
4,0.02
5,0.00
6,0.00
7,0.00
9,0.06
A,0.00
B,0.00
C,0.00
D,0.00
G,0.00
H,0.00
L,0.00
M,0.00
P,0.00
S,0.00
V,0.00
W,0.00
X,0.00

Plot saved as:,cer.png
